jobName,tags,area,workYear,degree,companyName,companyType,companySize,logo,min_salary,max_salary
java中/高级开发工程师,"java,mysql,oracle,spring,springboot,商业保险,员工旅游,专业培训,年终奖金,绩效奖金,周末双休,员工生日,节日礼物,餐饮补贴",广东省广州黄埔区,3-4年,本科,中检赛辰技术服务有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3525/3524594/3524594_300.png?636863372847577669,8000,13000
开发经理,"spring,springboot,五险一金,补充医疗保险,餐饮补贴,通讯补贴,绩效奖金,年终奖金,弹性工作,定期体检,专业培训,员工旅游",浙江省绍兴柯桥区,8-9年,本科,中广有线信息网络有限公司,国企,1000-5000人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5399/5398427/5398427_300.png?636874616669700651,15000,20000
Java后端开发工程师,"java,spring,springboot,五险一金,定期体检,年终奖金,餐饮补贴,单位直招,节日福利,周末双休,带薪年假",深圳深圳罗湖区地王,8-9年,本科,深圳市现代农业装备研究院,事业单位,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/8/7051/7050351/7050351_300.jpg?637837991122249141,10000,15000
Java开发工程师,"java,spring,springboot,mybatis,五险一金,专业培训,绩效奖金,年终奖金,定期体检",湖北省襄阳樊城区,5-7年,大专,湖北统讯智能科技有限公司,民营,50-150人,https://img01.51jobcdn.com/fansImg/CompLogo/6/5891/5890767/5890767_300.png?637370660517466459,6000,8000
Java后端开发工程师,"java,数据库,spring,docker,springboot,五险一金,弹性工作,餐饮补贴",深圳深圳龙岗区,3-4年,大专,深圳市龙岗区千业信息咨询工作室,民营,少于50人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_accounting.png,8000,10000
中高级Java开发工程师--驻点西安,"java,spring,mybatis,springboot,五险一金,员工旅游,绩效奖金,年终奖金,周末双休",深圳深圳光明区,3-4年,本科,广东中创智能制造系统有限公司,民营,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/new/home_logo_default_software.png,10000,20000
中级后端软件开发工程师,"JAVA,spring,springMVC,springboot,带薪年假,五险一金,弹性工作,专业培训",湖北省武汉东湖新技术产业开发区,3-4年,本科,武汉数字建造产业技术研究院有限公司,国企,50-150人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,8000,15000
高级Java工程师,"java,spring,springboot,jsp,周末双休,带薪年假,绩效奖金,节日福利,餐饮补贴,六险一金",北京北京海淀区,3-4年,本科,赛尔网络有限公司,国企,1000-5000人,https://img04.51jobcdn.com/im/mkt/app/51job_phone/app/homelogo/home_logo_default.png,10833,21667
Java高级工程师,"java,springboot,spring,mybatis,springcloud,五险一金,年终奖金,定期体检,绩效奖金,双休,法定节假日,老板Nice",深圳深圳福田区,3-4年,大专,深圳市华迅捷供应链管理有限公司,民营,少于50人,https://img01.51jobcdn.com/fansImg/CompLogo/8/7338/7337729/43751182794671383360_300.png?1660008898572,20000,30000
java资深开发工程师,"java,spring,springboot,springmvc,springcloud,专业培训,单项工伤险",四川省成都锦江区春熙路,3-4年,本科,电信科学技术第五研究所有限公司,国企,500-1000人,https://img01.51jobcdn.com/fansImg/CompLogo/4/3314/3313825/3313825_300.jpg?637461291983234620,10833,16250
